Team,G,Pts/G,Yds/G,RushYds/G,PassYds/G,Int,IntTD,FF,DefTD,Total,PD,Sack
Minnesota,16,15.8,275.9,83.6,192.4,14,1,6,1,558,71,37
Jacksonville,16,16.8,286.1,116.3,169.9,21,2,17,7,633,81,55
LA Chargers,16,17,328.4,131.1,197.3,18,2,13,3,699,79,43
Philadelphia,16,18.4,306.5,79.2,227.3,19,1,13,5,599,92,38
New England,16,18.5,366,114.8,251.3,12,0,9,0,682,67,42
Baltimore,16,18.9,325.1,111.3,213.8,22,3,16,5,667,83,41
Pittsburgh,16,19.3,306.9,105.8,201.1,16,0,11,0,612,80,56
Atlanta,16,19.7,318.4,104.1,214.3,8,0,11,2,624,65,39
Chicago,16,20,319.1,108.1,211,8,2,11,3,662,69,42
Carolina,16,20.4,317.1,88.1,229.1,10,0,13,1,566,56,50
New Orleans,16,20.4,336.5,111.7,224.8,20,2,15,3,623,102,42
LA Rams,16,20.6,339.5,122.3,217.2,18,3,17,3,656,96,48
Dallas,16,20.8,318.1,104,214.1,10,1,14,1,641,64,38
Seattle,16,20.8,323.2,114,209.2,14,3,10,4,628,78,39
Kansas City,16,21.2,365.1,118.1,247,16,0,11,3,651,86,31
Cincinnati,16,21.8,339.1,127.9,211.2,11,3,4,3,665,73,41
Tennessee,16,22.3,328,88.8,239.3,12,0,11,1,620,74,43
Buffalo,16,22.4,355.1,124.6,230.5,18,1,13,3,694,82,27
Arizona,16,22.6,310.9,89.6,221.3,15,1,16,2,670,74,37
Oakland,16,23.3,350.1,108.9,241.1,5,0,12,0,678,56,31
Detroit,16,23.5,355.8,112.5,243.3,19,3,13,5,670,79,35
NY Jets,16,23.9,352.3,117.9,234.3,11,0,8,0,641,62,28
San Francisco,16,23.9,351.6,116.3,235.3,10,1,13,1,711,58,30
Denver,16,23.9,290,89.4,200.6,10,2,8,4,586,62,33
Tampa Bay,16,23.9,378.1,117.5,260.6,13,1,15,4,706,56,22
Green Bay,16,24,348.9,112.1,236.8,11,1,10,2,683,64,37
Washington,16,24.3,347.9,134.1,213.8,16,2,12,2,654,90,42
NY Giants,16,24.3,373.2,120.8,252.4,13,2,11,2,709,73,27
Miami,16,24.6,335.7,110.5,225.2,9,1,7,3,629,57,30
Indianapolis,16,25.3,367.1,120.4,246.6,13,1,11,1,619,69,25
Cleveland,16,25.6,328.1,97.9,230.3,7,1,14,1,645,73,34
Houston,16,27.3,346.6,109.2,237.4,11,2,12,4,608,58,32
