module_url,module_name,activity_url,activity_name,activity_type,activity_date
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/1,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15425.aspx,马克思主义学院2023年全国优秀大学生夏令营,【讲座论坛】,2023-06-28
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/1,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15424.aspx,马克思主义学院2023年全国优秀大学生夏令营,【讲座论坛】,2023-06-29
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/1,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15409.aspx,碳中和背景下环境多学科交叉前沿学术研讨会,【讲座论坛】,2023-06-17
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/1,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15400.aspx,基金会内部会议,【讲座论坛】,2023-06-09
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/1,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15399.aspx,成长计划大学物理期末复习讲座,【讲座论坛】,2023-06-10
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/1,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15394.aspx,有机化学2-1成长计划讲座,【讲座论坛】,2023-06-11
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/1,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15392.aspx,无机化学成长计划讲座,【讲座论坛】,2023-06-11
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/1,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15390.aspx,有机化学2-1成长计划讲座,【讲座论坛】,2023-06-11
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/1,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15378.aspx,结构化学成长计划期末讲座,【讲座论坛】,2023-06-10
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/1,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15377.aspx,成长计划物化复习讲座,【讲座论坛】,2023-06-10
http://kwhd.nankai.edu.cn/index/orderlist/type/1.aspx/p/2,讲座论坛,http://kwhd.nankai.edu.cn/index/orderview/id/15370.aspx,成长计划大学物理期末复习讲座,【讲座论坛】,2023-06-03
