num,name,image,homeland,weight,birth,baike_url
1,杨志刚,"https://img2.baidu.com/it/u=2488122553,1726344764&fm=253&fmt=auto&app=120&f=JPEG?w=800&h=1203",中国河北,68 KG,1978-11-14,https://baike.baidu.com/item/杨志刚
2,胡可,"https://img2.baidu.com/it/u=814367002,2706667373&fm=253&fmt=auto&app=138&f=JPEG?w=394&h=499",中国浙江,45 KG,1975-12-01,https://baike.baidu.com/item/胡可
3,黄磊,"https://img2.baidu.com/it/u=212885618,1774942064&fm=253&fmt=auto&app=138&f=JPEG?w=750&h=500",江西南昌,不详,1971-12-06,https://baike.baidu.com/item/黄磊
4,尹子维,"https://img0.baidu.com/it/u=3634654845,104759574&fm=253&fmt=auto&app=138&f=JPEG?w=750&h=500",中国香港,70 KG,1975-05-19,https://baike.baidu.com/item/尹子维
5,刘仁娜,"https://img1.baidu.com/it/u=2326885616,1622904232&fm=253&fmt=auto&app=138&f=JPEG?w=729&h=500",韩国,44 KG,1982-06-05,https://baike.baidu.com/item/刘仁娜
6,方子哥,"https://img2.baidu.com/it/u=3552657848,1026708212&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=750",中国北京,不详,不详,https://baike.baidu.com/item/方子哥
7,林宥嘉,"https://img2.baidu.com/it/u=2698561362,3392087658&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=662",中国台湾屏东,70 KG,1987-07-01,https://baike.baidu.com/item/林宥嘉
8,周一围,"https://img1.baidu.com/it/u=3657534950,4176549765&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=656",中国湖南,65 KG,1982-08-24,https://baike.baidu.com/item/周一围
9,翟天临,"https://img1.baidu.com/it/u=2570624587,4079020818&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=750",山东青岛,不详,1987-02-15,https://baike.baidu.com/item/翟天临
10,钱嘉乐,"https://img0.baidu.com/it/u=1492278758,657124041&fm=253&fmt=auto&app=138&f=JPEG?w=373&h=500",中国香港,70 KG,1965-08-06,https://baike.baidu.com/item/钱嘉乐
