num,subject,relation,object
1,李玥,姐弟,秦俊杰
2,胡静,同学,刘烨
2,胡静,同学,秦海璐
2,胡静,同学,袁泉
2,胡静,同学,梅婷
2,胡静,同学,秦昊
2,胡静,同学,牛青峰
2,胡静,同学,曾黎
2,胡静,同学,章子怡
3,罗素·克洛,旧爱,梅格·瑞恩
4,汤姆·克鲁斯,前任夫妻,妮可·基德曼
4,汤姆·克鲁斯,旧爱,佩内洛普·克鲁兹
5,黄鸿升,旧爱,杨丞琳
6,林鹏,好友,成龙
7,黄家强,兄弟,黄家驹
7,黄家强,拍档,叶世荣
7,黄家强,拍档,黄贯中
8,杨淇,绯闻,尹子维
9,黎姿,绯闻,张卫健
9,黎姿,好友,蔡少芬
9,黎姿,绯闻,郑嘉颖
9,黎姿,绯闻,林文龙
9,黎姿,师徒,罗文
10,金·卡戴珊,姐妹,科勒·卡戴珊
11,周杰伦,绯闻,李玟
11,周杰伦,干父子,黄秋生
11,周杰伦,绯闻,曾恺玹
11,周杰伦,绯闻,江语晨
11,周杰伦,绯闻,罗康妮
11,周杰伦,好友,陈冠希
11,周杰伦,旧爱,蔡依林
11,周杰伦,绯闻,徐若瑄
11,周杰伦,旧爱,侯佩岑
11,周杰伦,绯闻,昆凌
11,周杰伦,绯闻,田馥甄
11,周杰伦,绯闻,温岚
11,周杰伦,好友,刘畊宏
11,周杰伦,绯闻,吴佩珊
11,周杰伦,好友,陈建州
11,周杰伦,好友,宋祖英
12,孙红雷,绯闻,左小青
12,孙红雷,绯闻,巩俐
12,孙红雷,好友,海清
13,林子聪,搭档,徐娇
14,苗圃,绯闻,李亚鹏
15,水均益,夫妻,杨迪
16,葛荟婕,旧爱,汪峰
17,黄玉荣,拍档,祝钒刚
17,黄玉荣,拍档,颜行书
18,张馨予,旧爱,吴卓羲
18,张馨予,情侣,李晨
19,胡亚捷,同学,陆剑民
19,胡亚捷,同学,王志文
20,唐禹哲,好友,付辛博
21,李小龙,好友,邓光荣
22,关之琳,绯闻,成龙
22,关之琳,绯闻,苏见信
22,关之琳,绯闻,刘德华
22,关之琳,绯闻,霍建华
23,梅格·瑞恩,旧爱,罗素·克洛
24,胡兵,绯闻,瞿颖
24,胡兵,兄弟,胡东
25,伍咏薇,好友,郭可盈
25,伍咏薇,好友,苑琼丹
26,真木阳子,好友,上野树里
26,真木阳子,好友,瑛太
27,徐帆,旧爱,王志文
27,徐帆,同学,胡军
27,徐帆,同学,王斑
27,徐帆,同学,陈小艺
27,徐帆,同学,江珊
27,徐帆,同学,何冰
28,张子健,同学,王全安
28,张子健,同学,孔琳
28,张子健,同学,张嘉译
28,张子健,好友,苑冉
28,张子健,好友,曲栅栅
29,史兰芽,夫妻,李幼斌
29,史兰芽,同学,辛柏青
29,史兰芽,同学,朱媛媛
30,陈孝萱,旧爱,吴宗宪
31,李亚鹏,好友,那英
31,李亚鹏,同学,王学兵
31,李亚鹏,绯闻,苗圃
31,李亚鹏,夫妻,王菲
31,李亚鹏,干父子,张纪中
31,李亚鹏,同学,陈建斌
31,李亚鹏,旧爱,瞿颖
31,李亚鹏,同学,曹卫宇
31,李亚鹏,旧爱,周迅
32,夏力薪,同学,郭涛
33,蒙嘉慧,好友,林保怡
33,蒙嘉慧,情侣,郑伊健
33,蒙嘉慧,密友,洪欣
34,李玟,绯闻,周杰伦
34,李玟,好友,王力宏
35,刘悦,师徒,刘欢
36,徐百卉,同学,白百何
37,伊能静,绯闻,黄维德
37,伊能静,拍档,高晓松
37,伊能静,拍档,韩雯雯
37,伊能静,夫妻,秦昊
38,刘冬,搭档,黄明
39,黄日华,好友,刘德华
39,黄日华,好友,翁美玲
40,姚笛,同学,马苏
40,姚笛,绯闻,迟帅
40,姚笛,同学,练束梅
40,姚笛,绯闻,王龙华
41,杨乐乐,夫妻,汪涵
42,侯祖辛,师徒,那英
43,山口百惠,夫妻,三浦友和
44,反町隆史,夫妻,松岛菜菜子
44,反町隆史,绯闻,加藤爱
45,苏岩,夫妻,罗嘉良
46,章子怡,绯闻,成龙
46,章子怡,情侣,撒贝宁
46,章子怡,绯闻,汪小菲
46,章子怡,同学,刘烨
46,章子怡,同学,胡静
46,章子怡,同学,秦海璐
46,章子怡,同学,袁泉
46,章子怡,同学,梅婷
46,章子怡,密友,邓文迪
46,章子怡,同学,曾黎
46,章子怡,好友,郭富城
46,章子怡,同学,秦昊
46,章子怡,同学,牛青峰
47,陈法蓉,好友,罗慧娟
47,陈法蓉,绯闻,钱小豪
47,陈法蓉,密友,蔡少芬
47,陈法蓉,密友,洪欣
47,陈法蓉,绯闻,陈锦鸿
48,王丽云,母女,车晓
49,许冠杰,兄弟,许冠英
50,牟凤彬,好友,陈司翰
50,牟凤彬,好友,谢宁（女演员）
51,梁丹妮,夫妻,冯远征
52,崔始源,拍档,韩庚
52,崔始源,拍档,周觅
52,崔始源,拍档,金希澈
52,崔始源,拍档,曺圭贤
52,崔始源,拍档,李东海
52,崔始源,拍档,刘宪华
52,崔始源,情侣,刘雯
52,崔始源,组员,super junior
53,郑希怡,绯闻,成龙
53,郑希怡,好友,容祖儿
53,郑希怡,好友,钟欣潼
53,郑希怡,绯闻,吴浩康
53,郑希怡,绯闻,叶项明
54,戚薇,绯闻,黄宗泽
54,戚薇,拍档,袁成杰
55,唐文龙,好友,曹永廉
56,赵普,绯闻,李蜜
57,吴卓羲,绯闻,徐子珊
57,吴卓羲,绯闻,官恩娜
57,吴卓羲,旧爱,张馨予
57,吴卓羲,好友,胡杏儿
57,吴卓羲,密友,林峰
57,吴卓羲,绯闻,佘诗曼
57,吴卓羲,好友,汤盈盈
57,吴卓羲,绯闻,胡定欣
57,吴卓羲,好友,陈键锋
58,邓九云,同学,林依晨
58,邓九云,绯闻,何韵诗
59,黄贯中,拍档,黄家强
59,黄贯中,拍档,黄家驹
59,黄贯中,拍档,叶世荣
59,黄贯中,夫妻,朱茵(上海)
60,李念,同学,杜若溪
61,吴昕,好友,杜海涛
61,吴昕,好友,谢娜
61,吴昕,绯闻,李子峰
61,吴昕,好友,张翰
61,吴昕,好友,李维嘉
61,吴昕,好友,何炅
62,关咏荷,夫妻,张家辉
63,安钧璨,绯闻,徐熙媛
64,周星驰,绯闻,舒淇
64,周星驰,绯闻,吴君如
64,周星驰,旧爱,于文凤
64,周星驰,师徒,张雨绮
64,周星驰,干父女,徐娇
64,周星驰,绯闻,张敏
64,周星驰,绯闻,赵薇
64,周星驰,好友,梁朝伟
64,周星驰,旧爱,莫文蔚
64,周星驰,好友,张学友
64,周星驰,绯闻,蓝洁瑛
64,周星驰,旧爱,罗慧娟
64,周星驰,旧爱,朱茵(上海)
65,杨钰莹,好友,毛宁
66,刘德凯,旧爱,刘雪华
67,艾希莉·辛普森,密友,林赛·罗韩
67,艾希莉·辛普森,姐妹,杰西卡·辛普森
68,谢宁（女演员）,好友,牟凤彬
69,成龙,绯闻,林青霞
69,成龙,绯闻,张曼玉
69,成龙,父子,房祖名
69,成龙,旧爱,邓丽君
69,成龙,夫妻,林凤娇
69,成龙,绯闻,米雪
69,成龙,绯闻,郑裕玲
69,成龙,好友,林鹏
69,成龙,绯闻,关之琳
69,成龙,好友,曾志伟
69,成龙,绯闻,钟楚红
69,成龙,旧爱,吴绮莉
69,成龙,好友,谭咏麟
69,成龙,绯闻,郑希怡
69,成龙,好友,翁倩玉
69,成龙,绯闻,章子怡
70,余文乐,绯闻,杨丞琳
70,余文乐,旧爱,黄伊汶
70,余文乐,绯闻,舒淇
70,余文乐,好友,郭富城
70,余文乐,绯闻,钟欣潼
70,余文乐,绯闻,黄圣依
71,窦唯,前任夫妻,王菲
72,陈德容,绯闻,吴建豪
72,陈德容,绯闻,马景涛
73,柳时元,好友,李东健
73,柳时元,好友,朴容夏
74,刘威葳,同学,王新军
75,刘碧丽,情人,周焯华
76,刘欢,师徒,刘悦
76,刘欢,师徒,吉克隽逸
76,刘欢,师徒,李代沫
76,刘欢,师徒,李行亮
76,刘欢,师徒,徐海星
76,刘欢,师徒,权振东
76,刘欢,师徒,袁娅维
76,刘欢,师徒,王乃恩
76,刘欢,师徒,刘昊霖
76,刘欢,师徒,郑虹
77,金厉旭,组员,super junior
78,俞飞鸿,同学,柳云龙
78,俞飞鸿,同学,邵兵
79,萧亚轩,情侣,柯震东
79,萧亚轩,好友,熊黛林
80,林青霞,好友,刘嘉玲
80,林青霞,好友,张国荣
80,林青霞,密友,钟楚红
80,林青霞,绯闻,成龙
81,李婉华,旧爱,吴镇宇
81,李婉华,密友,黎瑞恩
82,田丽,旧爱,马景涛
83,宋林静,夫妻,于和伟
84,蔡淇俊,绯闻,陈自瑶
85,芭儿·拉法莉,情侣,莱昂纳多·迪卡普里奥
86,张予曦,旧爱,王思聪
87,杜汶泽,好友,刘德华
87,杜汶泽,好友,黎明
87,杜汶泽,好友,梁洛施
87,杜汶泽,好友,吴君如
87,杜汶泽,夫妻,田蕊妮
88,曹敏莉,绯闻,黄长兴
89,韩雯雯,拍档,伊能静
89,韩雯雯,拍档,应采儿
89,韩雯雯,拍档,古天乐
89,韩雯雯,拍档,赵文瑄
89,韩雯雯,拍档,黄圣依
